crtR(2011:2022),mean curvature,Gaussian curvature,ridge degree,ravine degree,Longitude,Latitude
0.460355,-286.070872,-17793.54649,527.889607,-100,140.91417,37.37791
0.476307,-219.784918,-20529.65328,380.606644,-100,140.914167,37.378812
0.471021,-219.784918,-20529.65328,341.958525,-100,140.914732,37.378812
0.476892,-286.070872,-17793.54649,572.483778,-100,140.913603,37.378361
0.470121,-286.070872,-17793.54649,527.889607,-100,140.914168,37.378361
0.481954,-219.784918,-20529.65328,444.646199,-100,140.913603,37.378811
0.490117,-139.757226,11119.2897,-100,-100,140.911909,37.377909
0.493563,-139.757226,11119.2897,-100,-100,140.911345,37.377908
0.490157,-111.396613,6574.795969,-100,-100,140.911345,37.377458
0.459065,-305.142705,-31390.17732,577.97951,-100,140.915297,37.378362
0.463999,-286.070872,-17793.54649,537.12367,-100,140.914733,37.378362
0.476715,-184.304684,15660.93652,-100,-100,140.912475,37.377459
0.467402,-282.290172,5132.815674,445.545605,-100,140.913039,37.377459
0.477059,-273.464928,3338.968415,514.625122,-100,140.913039,37.37791
0.468736,-286.070872,-17793.54649,572.483778,-100,140.913604,37.37791
0.446489,-287.148751,-24596.64177,524.777295,-100,140.914169,37.37746
0.484434,-202.214193,14372.05908,299.914249,-100,140.912474,37.377909
0.483485,-284.000064,4597.386492,533.657295,-100,140.913038,37.37836
0.488935,-194.803637,13021.84009,327.906513,-100,140.912474,37.37836
0.470245,-74.248289,-19708.09638,-100,18.456434,140.915296,37.379263
0.466494,-164.479774,-31693.1361,254.423631,-100,140.915297,37.378813
0.474717,-61.692116,-19220.72395,-100,43.216691,140.914732,37.379263
0.455625,-88.913923,-14920.57279,159.985582,-100,140.915862,37.378362
0.471211,80.368617,-5385.435464,-100,-100,140.915296,37.379714
0.466339,42.557556,-3203.732883,-100,-100,140.915861,37.379264
0.511876,-7.61257,-50.424363,-100,-100,140.907391,37.377905
0.490911,-30.407258,49.521282,-100,-100,140.910216,37.377006
0.493889,-111.396613,6574.795969,-100,-100,140.91078,37.377457
0.462948,-9.42076,-12714.36823,-100,-100,140.915862,37.378813
0.490787,-99.338722,-3262.865773,-100,-100,140.912473,37.379261
0.488295,10.988309,-8319.620151,-100,56.307496,140.913037,37.379712
0.484432,-111.396613,6574.795969,-100,-100,140.91191,37.377458
0.488479,-124.928589,-9541.620373,161.138282,-100,140.913037,37.379262
0.484428,-61.692116,-19220.72395,-100,29.25207,140.913602,37.379262
0.479563,-61.692116,-19220.72395,-100,41.947171,140.914167,37.379263
0.480534,61.697993,-3366.776941,-100,72.352436,140.914166,37.379713
0.475849,61.697993,-3366.776941,-100,-100,140.914731,37.379714
0.458323,-4.448755,-5557.300362,-100,-100,140.916991,37.378814
0.479822,79.642716,-2290.598651,-100,90.949113,140.914166,37.380164
0.475075,79.642716,-2290.598651,-100,-100,140.914731,37.380164
0.484939,61.697993,-3366.776941,-100,115.392795,140.913602,37.379713
0.494354,-139.757226,11119.2897,-100,-100,140.910215,37.377908
0.487057,73.17371,-7602.74863,-100,134.087343,140.913036,37.380163
0.494731,-139.757226,11119.2897,-100,-100,140.91078,37.377908
0.488247,-115.164562,-11093.84399,162.172415,-100,140.911907,37.379712
0.489781,-44.175446,-11103.51248,-100,25.319295,140.912472,37.379712
0.485359,-139.757226,11119.2897,-100,-100,140.910215,37.378358
0.477903,79.642716,-2290.598651,-100,89.751504,140.914165,37.380615
0.483968,79.642716,-2290.598651,-100,118.905189,140.913601,37.380163
0.486713,-113.801737,-11384.84844,169.164829,-100,140.911907,37.380162
0.49234,-139.757226,11119.2897,-100,-100,140.911909,37.378359
0.490792,-174.032472,4724.752003,287.852252,-100,140.912473,37.378811
0.487084,-228.178699,-3351.269876,431.871132,-100,140.913038,37.378811
0.418792,347.033392,-1644.357785,-100,605.154725,140.919813,37.381069
0.46298,36.57965,-9.329029,-100,-100,140.916426,37.379264
0.459904,36.57965,-9.329029,-100,-100,140.916991,37.379265
0.458782,83.869556,-7931.888655,-100,-100,140.91699,37.379715
0.470393,100.704952,-781.486008,-100,90.146167,140.91473,37.381066
0.464807,77.144214,-2524.497668,-100,-100,140.915294,37.381066
0.496161,-111.396613,6574.795969,-100,-100,140.910216,37.377457
0.428975,313.320521,-65860.34773,-100,644.918299,140.919814,37.380168
0.46684,80.018645,84.508341,-100,-100,140.915861,37.379714
0.462739,83.869556,-7931.888655,-100,-100,140.916425,37.379715
0.479673,100.704952,-781.486008,-100,101.539113,140.9136,37.381065
0.482076,79.642716,-2290.598651,-100,116.133001,140.913601,37.380614
0.434352,291.649391,-69805.19888,-100,583.770391,140.919814,37.379717
0.456916,36.57965,-9.329029,-100,-100,140.917555,37.379265
0.453624,36.57965,-9.329029,-100,-100,140.91812,37.379265
0.467674,108.666905,-65.969246,-100,91.132981,140.914729,37.381516
0.467808,55.5061,-4992.628177,-100,-100,140.915295,37.380615
0.470162,55.5061,-4992.628177,-100,-100,140.915295,37.380165
0.483764,-122.48849,-12628.77182,233.017388,-100,140.909081,37.381512
0.487312,-86.358478,-8109.569581,153.6918,-100,140.909081,37.381963
0.452188,-29.921143,-80.024073,-100,-100,140.909084,37.378808
0.490215,-122.371054,4856.163227,163.431566,-100,140.911908,37.379261
0.482757,57.468862,-4440.394898,-100,47.443041,140.913035,37.381064
0.485326,-122.371054,4856.163227,206.917185,-100,140.911343,37.37926
0.486448,-74.910903,-10732.01478,-100,-100,140.912471,37.380613
0.488256,-74.910903,-10732.01478,-100,-100,140.912471,37.380163
0.485121,73.17371,-7602.74863,-100,131.315155,140.913036,37.380614
0.471577,-113.801737,-11384.84844,258.682427,-100,140.910777,37.380161
0.472691,119.512956,2612.444276,-100,115.435018,140.913598,37.382417
0.474745,119.512956,2612.444276,-100,115.435018,140.913599,37.381966
