crtR(2011:2022),peak,pit,saddle,ridge,ravine
0.460355,0,0,1,1,0
0.476307,0,0,1,1,0
0.471021,0,0,1,1,0
0.476892,0,0,1,1,0
0.470121,0,0,1,1,0
0.481954,0,0,1,1,0
0.490117,1,0,0,0,0
0.493563,1,0,0,0,0
0.490157,1,0,0,0,0
0.459065,0,0,1,1,0
0.463999,0,0,1,1,0
0.476715,1,0,0,0,0
0.467402,1,0,0,1,0
0.477059,1,0,0,1,0
0.468736,0,0,1,1,0
0.446489,0,0,1,1,0
0.484434,1,0,0,1,0
0.483485,1,0,0,1,0
0.488935,1,0,0,1,0
0.470245,0,0,1,0,1
0.466494,0,0,1,1,0
0.474717,0,0,1,0,1
0.455625,0,0,1,1,0
0.471211,0,0,1,0,0
0.466339,0,0,1,0,0
0.511876,0,0,1,0,0
0.490911,1,0,0,0,0
0.493889,1,0,0,0,0
0.462948,0,0,1,0,0
0.490787,0,0,1,0,0
0.488295,0,0,1,0,1
0.484432,1,0,0,0,0
0.488479,0,0,1,1,0
0.484428,0,0,1,0,1
0.479563,0,0,1,0,1
0.480534,0,0,1,0,1
0.475849,0,0,1,0,0
0.458323,0,0,1,0,0
0.479822,0,0,1,0,1
0.475075,0,0,1,0,0
0.484939,0,0,1,0,1
0.494354,1,0,0,0,0
0.487057,0,0,1,0,1
0.494731,1,0,0,0,0
0.488247,0,0,1,1,0
0.489781,0,0,1,0,1
0.485359,1,0,0,0,0
0.477903,0,0,1,0,1
0.483968,0,0,1,0,1
0.486713,0,0,1,1,0
0.49234,1,0,0,0,0
0.490792,1,0,0,1,0
0.487084,0,0,1,1,0
0.418792,0,0,1,0,1
0.46298,0,0,1,0,0
0.459904,0,0,1,0,0
0.458782,0,0,1,0,0
0.470393,0,0,1,0,1
0.464807,0,0,1,0,0
0.496161,1,0,0,0,0
0.428975,0,0,1,0,1
0.46684,0,1,0,0,0
0.462739,0,0,1,0,0
0.479673,0,0,1,0,1
0.482076,0,0,1,0,1
0.434352,0,0,1,0,1
0.456916,0,0,1,0,0
0.453624,0,0,1,0,0
0.467674,0,0,1,0,1
0.467808,0,0,1,0,0
0.470162,0,0,1,0,0
0.483764,0,0,1,1,0
0.487312,0,0,1,1,0
0.452188,0,0,1,0,0
0.490215,1,0,0,1,0
0.482757,0,0,1,0,1
0.485326,1,0,0,1,0
0.486448,0,0,1,0,0
0.488256,0,0,1,0,0
0.485121,0,0,1,0,1
0.471577,0,0,1,1,0
0.472691,0,1,0,0,1
0.474745,0,1,0,0,1
0.475724,0,1,0,0,1
0.493038,1,0,0,0,0
0.494307,0,0,1,0,0
0.497828,1,0,0,0,0
0.429167,1,0,0,0,0
0.490347,1,0,0,0,0
0.482375,0,0,1,1,0
0.450752,0,0,1,1,0
0.470523,0,0,1,1,0
0.485521,0,0,1,1,0
0.474515,1,0,0,1,0
0.48949,1,0,0,1,0
0.49291,1,0,0,0,0
0.491961,1,0,0,1,0
0.460325,0,0,1,0,0
0.453673,0,0,1,0,0
0.440567,0,0,1,0,1
0.449765,0,0,1,0,0
0.45162,0,0,1,0,0
0.435559,0,0,1,0,1
0.429827,0,0,1,0,1
0.423631,0,0,1,0,1
0.470763,1,0,0,1,0
0.482448,1,0,0,1,0
0.406898,1,0,0,0,0
0.477138,0,0,1,0,1
0.472843,0,0,1,0,1
0.475428,0,0,1,0,1
0.473043,0,0,1,0,0
0.435818,0,0,1,0,1
0.435317,0,0,1,0,1
0.430264,0,0,1,0,1
0.455768,0,0,1,0,0
0.465312,0,1,0,0,1
0.463499,0,1,0,0,1
0.414948,0,1,0,0,0
0.453002,0,0,1,0,1
0.449263,0,1,0,0,1
0.424654,0,0,1,0,1
0.484328,0,0,1,0,0
0.482433,0,0,1,1,0
0.469639,0,1,0,0,0
0.456131,1,0,0,1,0
0.421142,0,0,1,1,0
0.391859,1,0,0,1,0
0.48144,0,0,1,1,0
0.481843,0,0,1,1,0
0.484407,0,0,1,0,0
0.47294,0,0,1,0,0
0.47514,0,0,1,0,1
0.456808,0,0,1,1,0
0.478998,0,0,1,0,0
0.473825,0,1,0,0,1
0.47238,0,1,0,0,1
0.412491,0,0,1,0,1
0.400621,0,1,0,0,1
0.425776,0,1,0,0,1
0.43128,0,1,0,0,1
0.460483,0,0,1,0,0
0.456971,0,0,1,0,0
0.465269,0,1,0,0,0
0.450588,0,0,1,0,1
0.445915,0,0,1,0,1
0.420682,0,1,0,0,0
0.396849,0,1,0,0,0
0.403322,0,1,0,0,0
0.396978,0,1,0,0,0
0.439838,0,0,1,1,0
0.459461,0,0,1,1,0
0.420317,0,1,0,0,0
0.462401,0,1,0,0,0
0.458954,0,1,0,0,0
0.466799,0,0,1,1,0
0.475311,0,0,1,1,0
0.489587,0,0,1,0,0
0.470504,0,1,0,0,1
0.458567,0,1,0,0,0
0.429084,1,0,0,1,0
0.432787,1,0,0,1,0
0.443004,0,1,0,0,1
0.447133,0,0,1,0,1
0.420381,0,1,0,0,0
0.412449,0,1,0,0,0
0.398114,0,1,0,0,0
0.405662,0,0,1,0,1
0.389803,0,1,0,0,0
0.459122,1,0,0,1,0
0.494152,1,0,0,1,0
0.480603,1,0,0,0,0
0.494054,1,0,0,0,0
0.480724,0,0,1,0,0
0.457243,1,0,0,1,0
0.468598,0,1,0,0,1
0.467311,0,1,0,0,1
0.431515,0,1,0,0,1
0.437705,0,1,0,0,1
0.430763,0,1,0,0,1
0.436886,0,1,0,0,1
0.439761,0,1,0,0,1
0.483941,0,0,1,0,1
0.480666,0,0,1,0,1
0.480241,0,0,1,0,1
0.481243,0,0,1,0,1
0.47012,0,1,0,0,0
0.484036,0,0,1,0,1
0.482708,1,0,0,1,0
0.504853,0,0,1,0,0
0.417308,0,0,1,0,0
0.455595,0,1,0,0,1
0.452878,0,1,0,0,1
0.48227,0,0,1,0,1
0.466687,0,1,0,0,0
0.466643,0,1,0,0,0
0.517358,1,0,0,1,0
0.499959,1,0,0,1,0
0.491796,0,0,1,1,0
0.393689,0,0,1,1,0
0.39752,0,0,1,0,0
0.49249,0,0,1,1,0
0.407163,0,1,0,0,0
0.411476,0,1,0,0,0
0.404788,0,1,0,0,0
0.47508,1,0,0,1,0
0.507307,0,0,1,1,0
0.462099,0,1,0,0,0
0.466324,0,0,1,0,1
0.469836,0,0,1,0,1
0.466719,0,0,1,0,1
0.423163,0,0,1,0,0
0.415955,0,1,0,0,0
0.443442,0,1,0,0,1
0.513985,0,0,1,0,0
0.49449,0,0,1,0,0
0.494862,0,0,1,0,0
0.502358,0,0,1,0,0
0.506055,0,0,1,0,0
0.504824,0,0,1,0,0
0.49287,0,0,1,0,0
0.481893,0,0,1,0,1
0.482905,0,0,1,0,0
0.482216,0,0,1,0,0
0.486413,1,0,0,1,0
0.484459,0,1,0,0,0
0.462421,0,1,0,0,1
0.457539,0,1,0,0,1
0.459329,0,1,0,0,1
0.461831,0,1,0,0,1
0.466938,0,1,0,0,0
0.467256,0,1,0,0,0
0.445757,0,0,1,0,0
0.451984,0,1,0,0,0
0.497077,0,0,1,1,0
0.481395,0,0,1,1,0
0.478744,0,0,1,0,1
0.479863,0,0,1,0,1
0.481114,0,0,1,0,0
0.479993,0,0,1,0,0
0.477748,0,0,1,0,0
0.518174,0,0,1,0,0
0.511362,0,0,1,0,0
0.487637,0,0,1,0,0
0.498235,0,0,1,1,0
0.489895,0,0,1,1,0
0.477076,0,0,1,1,0
0.449445,1,0,0,1,0
0.469462,1,0,0,1,0
0.456582,0,1,0,0,1
0.450136,0,1,0,0,1
0.446262,0,1,0,0,1
0.465707,0,0,1,0,0
0.500397,0,0,1,0,0
0.495831,0,0,1,0,0
0.476859,0,0,1,0,1
0.485051,0,0,1,1,0
0.481999,0,0,1,0,1
0.470803,0,0,1,0,1
0.473421,0,0,1,0,1
0.480298,0,0,1,0,1
0.402387,0,1,0,0,0
0.409291,0,1,0,0,0
0.389769,0,1,0,0,0
0.47489,0,0,1,0,1
0.424712,0,0,1,0,1
0.499797,0,0,1,0,0
0.500505,0,0,1,0,0
0.488401,0,0,1,0,0
0.506694,0,0,1,0,0
0.487342,0,0,1,1,0
0.384964,0,0,1,1,0
0.457033,0,1,0,0,0
0.456475,0,1,0,0,0
0.4259,0,1,0,0,0
0.427478,0,1,0,0,0
0.432548,0,1,0,0,0
0.451016,0,1,0,0,1
0.444297,0,1,0,0,1
0.425444,0,0,1,0,0
0.422303,0,0,1,0,1
0.450939,0,1,0,0,0
0.444562,0,1,0,0,0
0.419612,0,0,1,0,0
0.470727,0,1,0,0,0
0.470921,0,1,0,0,1
0.476365,1,0,0,1,0
0.474072,1,0,0,0,0
0.437017,1,0,0,0,0
0.506479,0,0,1,0,0
0.415944,0,1,0,0,0
0.421286,0,1,0,0,0
0.519889,0,0,1,0,0
0.50076,1,0,0,0,0
0.50361,1,0,0,1,0
0.49823,1,0,0,1,0
0.469562,1,0,0,1,0
0.493327,0,0,1,1,0
0.49796,0,0,1,1,0
0.472479,0,0,1,1,0
0.463021,0,0,1,0,1
0.440658,0,0,1,0,0
0.439694,0,0,1,0,0
0.435334,0,0,1,0,0
0.446581,0,0,1,0,0
0.450174,0,1,0,0,0
0.443615,0,1,0,0,0
0.458557,0,1,0,0,0
0.42636,1,0,0,0,0
0.391191,0,0,1,0,0
0.401207,0,1,0,0,0
0.402886,0,1,0,0,0
0.39847,0,1,0,0,0
0.407478,0,1,0,0,0
0.472387,0,0,1,0,1
0.469935,0,0,1,0,1
0.472639,0,0,1,0,1
0.453004,0,0,1,0,0
0.456011,0,0,1,0,0
0.462798,0,0,1,0,0
0.459245,0,0,1,0,0
0.460049,0,0,1,0,0
0.474734,0,0,1,1,0
0.48471,0,0,1,1,0
0.479859,0,0,1,1,0
0.463418,0,0,1,1,0
0.457399,1,0,0,0,0
0.457367,1,0,0,0,0
0.446392,0,0,1,0,0
0.452729,0,1,0,0,0
0.512881,1,0,0,0,0
0.417424,0,1,0,0,0
0.422513,0,1,0,0,1
0.425841,0,1,0,0,1
0.433602,0,1,0,0,1
0.40207,1,0,0,0,0
0.383704,0,0,1,1,0
0.393818,0,0,1,0,0
0.460755,1,0,0,0,0
0.452596,0,1,0,0,1
0.463633,0,1,0,0,0
0.457898,0,1,0,0,0
0.463007,0,1,0,0,0
0.463561,0,1,0,0,0
0.42938,0,0,1,0,0
0.435367,0,0,1,0,0
0.448823,1,0,0,0,0
0.45441,1,0,0,0,0
0.462856,1,0,0,0,0
0.466833,1,0,0,0,0
0.462402,0,1,0,0,0
0.524977,1,0,0,0,0
0.51887,0,0,1,0,0
0.517945,1,0,0,0,0
0.506474,1,0,0,1,0
0.456061,0,0,1,0,0
0.522695,1,0,0,0,0
0.517394,1,0,0,1,0
0.515712,0,0,1,1,0
0.5172,1,0,0,1,0
0.528932,1,0,0,0,0
0.45498,1,0,0,0,0
0.459615,1,0,0,0,0
0.462385,1,0,0,0,0
0.439797,1,0,0,0,0
0.447123,1,0,0,0,0
0.431284,1,0,0,0,0
0.461709,0,0,1,0,0
0.457338,0,0,1,0,0
0.460218,0,0,1,0,0
0.463617,0,0,1,0,0
0.467867,0,0,1,1,0
0.469633,0,0,1,1,0
0.428259,0,0,1,0,0
0.426248,0,0,1,0,0
0.42736,0,0,1,0,1
0.410729,0,0,1,0,0
0.413857,0,0,1,0,0
0.416632,0,0,1,0,1
0.407833,0,0,1,0,0
0.419766,0,0,1,0,1
0.45102,0,0,1,0,0
0.446316,0,0,1,0,0
0.43701,0,1,0,0,1
0.427877,0,1,0,0,1
0.505923,0,0,1,1,0
0.512544,0,0,1,1,0
0.498972,0,0,1,1,0
0.431224,0,1,0,0,0
0.43718,0,1,0,0,0
0.438313,0,1,0,0,0
0.425236,0,1,0,0,0
0.434156,0,0,1,0,0
0.430877,0,0,1,0,0
0.47497,0,0,1,0,1
0.475657,0,0,1,0,1
0.477552,0,0,1,0,0
0.478469,0,0,1,0,0
0.480662,0,0,1,0,0
0.474442,0,0,1,0,0
0.441415,0,0,1,0,1
0.446156,0,0,1,0,1
0.440995,0,0,1,0,1
0.440977,0,0,1,0,1
0.454804,0,0,1,0,0
0.511896,0,0,1,0,0
0.444438,0,0,1,0,0
0.450992,1,0,0,0,0
0.440487,0,0,1,0,0
0.471799,0,0,1,1,0
0.474117,0,0,1,1,0
0.477376,0,0,1,1,0
0.468551,0,0,1,1,0
0.459317,0,0,1,1,0
0.488919,0,0,1,1,0
0.483001,0,0,1,1,0
0.424027,0,0,1,0,1
0.421166,0,0,1,0,1
0.409415,0,0,1,0,1
0.415847,0,0,1,0,1
0.425678,1,0,0,0,0
0.421512,1,0,0,0,0
0.404967,0,0,1,0,0
0.412022,0,1,0,0,0
0.408325,0,1,0,0,0
0.469482,0,1,0,0,0
0.471129,0,1,0,0,1
0.481541,0,0,1,0,0
0.482436,0,0,1,0,0
0.481717,0,0,1,0,0
0.476659,0,0,1,0,0
0.476423,0,1,0,0,0
0.455578,0,0,1,1,0
0.468758,1,0,0,0,0
0.477614,0,1,0,0,0
0.500482,0,1,0,0,0
0.414026,0,0,1,0,1
0.411691,0,0,1,0,1
0.417671,0,0,1,0,1
0.422711,0,0,1,0,1
0.418557,0,0,1,0,1
0.414093,0,0,1,0,1
0.465466,1,0,0,0,0
0.469038,1,0,0,0,0
0.467315,0,1,0,0,0
0.407148,1,0,0,0,0
0.419275,1,0,0,0,0
0.417191,1,0,0,0,0
0.431266,0,0,1,0,0
0.427508,1,0,0,0,0
0.424946,0,0,1,0,1
0.425976,1,0,0,1,0
0.378299,0,0,1,1,0
0.528071,1,0,0,0,0
0.51829,1,0,0,0,0
0.502642,0,0,1,1,0
0.508043,0,0,1,1,0
0.521983,0,0,1,0,0
0.477916,0,1,0,0,1
0.396122,1,0,0,0,0
0.399125,1,0,0,0,0
0.412337,0,0,1,0,0
0.417215,0,0,1,0,0
0.410559,0,0,1,0,0
0.508799,0,1,0,0,0
0.466397,1,0,0,0,0
0.462816,1,0,0,0,0
0.463586,1,0,0,0,0
0.459639,1,0,0,0,0
0.444542,1,0,0,0,0
0.452038,0,0,1,0,0
0.452675,1,0,0,0,0
0.450071,0,0,1,0,0
0.492358,0,0,1,1,0
0.492445,0,1,0,0,0
0.524039,0,0,1,1,0
0.410992,1,0,0,1,0
0.425913,1,0,0,1,0
0.425316,1,0,0,1,0
0.424414,1,0,0,1,0
0.419557,1,0,0,1,0
0.536226,0,1,0,0,0
0.52809,1,0,0,0,0
0.517758,1,0,0,1,0
0.535013,0,0,1,0,0
0.389721,0,0,1,1,0
0.385712,0,0,1,1,0
0.468153,1,0,0,0,0
0.469478,0,1,0,0,0
0.4694,0,1,0,0,0
0.456729,1,0,0,0,0
0.439869,1,0,0,0,0
0.45604,1,0,0,0,0
0.457769,1,0,0,0,0
0.461046,1,0,0,0,0
0.464245,1,0,0,0,0
0.417352,1,0,0,0,0
0.438392,0,0,1,0,0
0.480162,0,1,0,0,0
0.496442,0,1,0,0,0
0.465219,0,1,0,0,0
0.43993,1,0,0,0,0
0.433375,1,0,0,0,0
0.433426,0,0,1,0,0
0.388891,0,0,1,1,0
0.465232,1,0,0,0,0
0.463888,0,0,1,0,0
0.466689,0,0,1,0,1
0.406056,1,0,0,1,0
0.429789,0,0,1,0,0
0.424285,1,0,0,1,0
0.51944,0,1,0,0,0
0.493057,0,0,1,0,0
0.469866,0,1,0,0,0
0.469874,0,1,0,0,0
0.470271,0,1,0,0,0
0.469427,1,0,0,0,0
0.465755,1,0,0,0,0
0.506529,0,1,0,0,0
0.495943,0,1,0,0,0
0.493982,0,1,0,0,0
0.417521,1,0,0,1,0
0.42851,1,0,0,0,0
0.42549,1,0,0,0,0
0.4241,1,0,0,0,0
0.47214,0,0,1,0,0
0.476723,0,0,1,0,0
0.47901,0,0,1,0,0
0.479823,0,0,1,0,0
0.475617,0,0,1,0,0
0.426453,1,0,0,1,0
0.471383,0,1,0,0,1
0.466286,0,0,1,0,0
0.467472,0,0,1,0,1
0.468336,0,0,1,0,0
0.469059,0,0,1,0,0
0.404875,1,0,0,0,0
0.402586,1,0,0,0,0
0.419855,0,0,1,0,1
0.423295,0,0,1,0,1
0.458409,1,0,0,0,0
0.450314,1,0,0,0,0
