crtR(2011:2017),Water,Urban,Rice field,Farmland,Meadow,Deciduous broadleaf,Deciduous coniferous,Evergreen broadleaf,Evergreen coniferous,Bare land,Bamboo forest,Solar panel
0.574426,0,0,0,1,0,0,0,0,0,0,0,0
0.580636,0,1,0,0,0,0,0,0,0,0,0,0
0.568938,0,1,0,0,0,0,0,0,0,0,0,0
0.567474,0,1,0,0,0,0,0,0,0,0,0,0
0.575348,0,1,0,0,0,0,0,0,0,0,0,0
0.575262,0,1,0,0,0,0,0,0,0,0,0,0
0.575564,0,1,0,0,0,0,0,0,0,0,0,0
0.567731,0,1,0,0,0,0,0,0,0,0,0,0
0.582963,0,1,0,0,0,0,0,0,0,0,0,0
0.567436,0,1,0,0,0,0,0,0,0,0,0,0
0.570819,0,1,0,0,0,0,0,0,0,0,0,0
0.575571,0,1,0,0,0,0,0,0,0,0,0,0
0.56483,0,1,0,0,0,0,0,0,0,0,0,0
0.577379,0,1,0,0,0,0,0,0,0,0,0,0
0.57999,0,1,0,0,0,0,0,0,0,0,0,0
0.575677,0,1,0,0,0,0,0,0,0,0,0,0
0.581923,0,1,0,0,0,0,0,0,0,0,0,0
0.559601,0,1,0,0,0,0,0,0,0,0,0,0
0.552557,0,1,0,0,0,0,0,0,0,0,0,0
0.563924,0,1,0,0,0,0,0,0,0,0,0,0
0.582856,0,1,0,0,0,0,0,0,0,0,0,0
0.567457,0,1,0,0,0,0,0,0,0,0,0,0
0.5609,0,1,0,0,0,0,0,0,0,0,0,0
0.550224,0,1,0,0,0,0,0,0,0,0,0,0
0.554343,0,1,0,0,0,0,0,0,0,0,0,0
0.553552,0,1,0,0,0,0,0,0,0,0,0,0
0.574743,0,1,0,0,0,0,0,0,0,0,0,0
0.54695,0,1,0,0,0,0,0,0,0,0,0,0
0.582392,0,1,0,0,0,0,0,0,0,0,0,0
0.516005,0,1,0,0,0,0,0,0,0,0,0,0
0.551105,0,1,0,0,0,0,0,0,0,0,0,0
0.55215,0,1,0,0,0,0,0,0,0,0,0,0
0.549642,0,1,0,0,0,0,0,0,0,0,0,0
0.536323,0,1,0,0,0,0,0,0,0,0,0,0
0.527671,0,1,0,0,0,0,0,0,0,0,0,0
0.54129,0,1,0,0,0,0,0,0,0,0,0,0
0.53301,0,1,0,0,0,0,0,0,0,0,0,0
0.492481,0,1,0,0,0,0,0,0,0,0,0,0
0.491561,0,1,0,0,0,0,0,0,0,0,0,0
0.572092,0,1,0,0,0,0,0,0,0,0,0,0
0.585244,0,1,0,0,0,0,0,0,0,0,0,0
0.56696,0,1,0,0,0,0,0,0,0,0,0,0
0.561949,0,1,0,0,0,0,0,0,0,0,0,0
0.523853,0,1,0,0,0,0,0,0,0,0,0,0
0.543562,0,1,0,0,0,0,0,0,0,0,0,0
0.559839,0,1,0,0,0,0,0,0,0,0,0,0
0.560533,0,1,0,0,0,0,0,0,0,0,0,0
0.560472,0,1,0,0,0,0,0,0,0,0,0,0
0.567544,0,1,0,0,0,0,0,0,0,0,0,0
0.575292,0,1,0,0,0,0,0,0,0,0,0,0
0.541423,0,1,0,0,0,0,0,0,0,0,0,0
0.524322,0,1,0,0,0,0,0,0,0,0,0,0
0.53022,0,1,0,0,0,0,0,0,0,0,0,0
0.509253,0,1,0,0,0,0,0,0,0,0,0,0
0.545401,0,1,0,0,0,0,0,0,0,0,0,0
0.47596,0,1,0,0,0,0,0,0,0,0,0,0
0.479983,0,1,0,0,0,0,0,0,0,0,0,0
0.48166,0,1,0,0,0,0,0,0,0,0,0,0
0.592776,0,1,0,0,0,0,0,0,0,0,0,0
0.507942,0,1,0,0,0,0,0,0,0,0,0,0
0.545796,0,1,0,0,0,0,0,0,0,0,0,0
0.544981,0,1,0,0,0,0,0,0,0,0,0,0
0.536197,0,1,0,0,0,0,0,0,0,0,0,0
0.492468,0,1,0,0,0,0,0,0,0,0,0,0
0.552518,0,1,0,0,0,0,0,0,0,0,0,0
0.522079,0,1,0,0,0,0,0,0,0,0,0,0
0.484107,0,1,0,0,0,0,0,0,0,0,0,0
0.503623,0,1,0,0,0,0,0,0,0,0,0,0
0.502293,0,1,0,0,0,0,0,0,0,0,0,0
0.541534,0,1,0,0,0,0,0,0,0,0,0,0
0.555922,0,1,0,0,0,0,0,0,0,0,0,0
0.489613,0,1,0,0,0,0,0,0,0,0,0,0
0.561784,0,1,0,0,0,0,0,0,0,0,0,0
0.586615,0,1,0,0,0,0,0,0,0,0,0,0
0.583519,0,1,0,0,0,0,0,0,0,0,0,0
0.541364,0,1,0,0,0,0,0,0,0,0,0,0
0.51421,0,1,0,0,0,0,0,0,0,0,0,0
0.572734,0,1,0,0,0,0,0,0,0,0,0,0
0.504466,0,1,0,0,0,0,0,0,0,0,0,0
0.484543,0,0,0,0,1,0,0,0,0,0,0,0
0.558177,0,1,0,0,0,0,0,0,0,0,0,0
0.58723,0,1,0,0,0,0,0,0,0,0,0,0
0.559383,0,0,0,1,0,0,0,0,0,0,0,0
0.505062,0,1,0,0,0,0,0,0,0,0,0,0
0.478471,0,1,0,0,0,0,0,0,0,0,0,0
0.553323,0,1,0,0,0,0,0,0,0,0,0,0
0.515835,0,1,0,0,0,0,0,0,0,0,0,0
0.501771,0,1,0,0,0,0,0,0,0,0,0,0
0.499886,0,1,0,0,0,0,0,0,0,0,0,0
0.466482,0,1,0,0,0,0,0,0,0,0,0,0
0.522933,0,1,0,0,0,0,0,0,0,0,0,0
0.52751,0,1,0,0,0,0,0,0,0,0,0,0
0.531757,0,1,0,0,0,0,0,0,0,0,0,0
0.538216,0,1,0,0,0,0,0,0,0,0,0,0
0.543621,0,1,0,0,0,0,0,0,0,0,0,0
0.575916,0,1,0,0,0,0,0,0,0,0,0,0
0.577166,0,1,0,0,0,0,0,0,0,0,0,0
0.554436,0,1,0,0,0,0,0,0,0,0,0,0
0.556955,0,1,0,0,0,0,0,0,0,0,0,0
0.555284,0,1,0,0,0,0,0,0,0,0,0,0
0.567902,0,1,0,0,0,0,0,0,0,0,0,0
0.55253,0,1,0,0,0,0,0,0,0,0,0,0
0.515352,0,0,0,1,0,0,0,0,0,0,0,0
