crtR(2011:2022),mean curvature,Gaussian curvature,ridge degree,ravine degree
0.460355,-286.070872,-17793.54649,527.889607,-100
0.476307,-219.784918,-20529.65328,380.606644,-100
0.471021,-219.784918,-20529.65328,341.958525,-100
0.476892,-286.070872,-17793.54649,572.483778,-100
0.470121,-286.070872,-17793.54649,527.889607,-100
0.481954,-219.784918,-20529.65328,444.646199,-100
0.490117,-139.757226,11119.2897,-100,-100
0.493563,-139.757226,11119.2897,-100,-100
0.490157,-111.396613,6574.795969,-100,-100
0.459065,-305.142705,-31390.17732,577.97951,-100
0.463999,-286.070872,-17793.54649,537.12367,-100
0.476715,-184.304684,15660.93652,-100,-100
0.467402,-282.290172,5132.815674,445.545605,-100
0.477059,-273.464928,3338.968415,514.625122,-100
0.468736,-286.070872,-17793.54649,572.483778,-100
0.446489,-287.148751,-24596.64177,524.777295,-100
0.484434,-202.214193,14372.05908,299.914249,-100
0.483485,-284.000064,4597.386492,533.657295,-100
0.488935,-194.803637,13021.84009,327.906513,-100
0.470245,-74.248289,-19708.09638,-100,18.456434
0.466494,-164.479774,-31693.1361,254.423631,-100
0.474717,-61.692116,-19220.72395,-100,43.216691
0.455625,-88.913923,-14920.57279,159.985582,-100
0.471211,80.368617,-5385.435464,-100,-100
0.466339,42.557556,-3203.732883,-100,-100
0.511876,-7.61257,-50.424363,-100,-100
0.490911,-30.407258,49.521282,-100,-100
0.493889,-111.396613,6574.795969,-100,-100
0.462948,-9.42076,-12714.36823,-100,-100
0.490787,-99.338722,-3262.865773,-100,-100
0.488295,10.988309,-8319.620151,-100,56.307496
0.484432,-111.396613,6574.795969,-100,-100
0.488479,-124.928589,-9541.620373,161.138282,-100
0.484428,-61.692116,-19220.72395,-100,29.25207
0.479563,-61.692116,-19220.72395,-100,41.947171
0.480534,61.697993,-3366.776941,-100,72.352436
0.475849,61.697993,-3366.776941,-100,-100
0.458323,-4.448755,-5557.300362,-100,-100
0.479822,79.642716,-2290.598651,-100,90.949113
0.475075,79.642716,-2290.598651,-100,-100
0.484939,61.697993,-3366.776941,-100,115.392795
0.494354,-139.757226,11119.2897,-100,-100
0.487057,73.17371,-7602.74863,-100,134.087343
0.494731,-139.757226,11119.2897,-100,-100
0.488247,-115.164562,-11093.84399,162.172415,-100
0.489781,-44.175446,-11103.51248,-100,25.319295
0.485359,-139.757226,11119.2897,-100,-100
0.477903,79.642716,-2290.598651,-100,89.751504
0.483968,79.642716,-2290.598651,-100,118.905189
0.486713,-113.801737,-11384.84844,169.164829,-100
0.49234,-139.757226,11119.2897,-100,-100
0.490792,-174.032472,4724.752003,287.852252,-100
0.487084,-228.178699,-3351.269876,431.871132,-100
0.418792,347.033392,-1644.357785,-100,605.154725
0.46298,36.57965,-9.329029,-100,-100
0.459904,36.57965,-9.329029,-100,-100
0.458782,83.869556,-7931.888655,-100,-100
0.470393,100.704952,-781.486008,-100,90.146167
0.464807,77.144214,-2524.497668,-100,-100
0.496161,-111.396613,6574.795969,-100,-100
0.428975,313.320521,-65860.34773,-100,644.918299
0.46684,80.018645,84.508341,-100,-100
0.462739,83.869556,-7931.888655,-100,-100
0.479673,100.704952,-781.486008,-100,101.539113
0.482076,79.642716,-2290.598651,-100,116.133001
0.434352,291.649391,-69805.19888,-100,583.770391
0.456916,36.57965,-9.329029,-100,-100
0.453624,36.57965,-9.329029,-100,-100
0.467674,108.666905,-65.969246,-100,91.132981
0.467808,55.5061,-4992.628177,-100,-100
0.470162,55.5061,-4992.628177,-100,-100
0.483764,-122.48849,-12628.77182,233.017388,-100
0.487312,-86.358478,-8109.569581,153.6918,-100
0.452188,-29.921143,-80.024073,-100,-100
0.490215,-122.371054,4856.163227,163.431566,-100
0.482757,57.468862,-4440.394898,-100,47.443041
0.485326,-122.371054,4856.163227,206.917185,-100
0.486448,-74.910903,-10732.01478,-100,-100
0.488256,-74.910903,-10732.01478,-100,-100
0.485121,73.17371,-7602.74863,-100,131.315155
0.471577,-113.801737,-11384.84844,258.682427,-100
0.472691,119.512956,2612.444276,-100,115.435018
0.474745,119.512956,2612.444276,-100,115.435018
0.475724,128.217839,2673.934452,-100,181.973509
0.493038,-23.396452,8.15025,-100,-100
0.494307,1.791602,-0.788428,-100,-100
0.497828,-75.910901,2095.64938,-100,-100
0.429167,-93.726781,3592.076276,-100,-100
0.490347,-139.757226,11119.2897,-100,-100
0.482375,-115.164562,-11093.84399,229.135991,-100
0.450752,-115.164562,-11093.84399,196.423345,-100
0.470523,-115.164562,-11093.84399,245.96189,-100
0.485521,-113.801737,-11384.84844,172.902269,-100
0.474515,-122.371054,4856.163227,207.313282,-100
0.48949,-163.410984,15693.13943,252.690996,-100
0.49291,-139.757226,11119.2897,-100,-100
0.491961,-163.410984,15693.13943,229.250587,-100
0.460325,-4.448755,-5557.300362,-100,-100
0.453673,-23.06414,-5409.209868,-100,-100
0.440567,307.583747,-86858.68139,-100,650.741704
0.449765,63.842178,-5176.278589,-100,-100
0.45162,99.401269,-8016.858624,-100,-100
0.435559,97.042067,-21908.34992,-100,194.805026
0.429827,266.069609,-86626.99704,-100,583.604356
0.423631,313.320521,-65860.34773,-100,639.788588
0.470763,-163.410984,15693.13943,228.602919,-100
0.482448,-163.410984,15693.13943,252.690996,-100
0.406898,-48.395224,684.490576,-100,-100
0.477138,108.666905,-65.969246,-100,91.132981
0.472843,108.666905,-65.969246,-100,91.132981
0.475428,100.704952,-781.486008,-100,64.986029
0.473043,79.642716,-2290.598651,-100,-100
0.435818,139.890158,-9044.394335,-100,213.442689
0.435317,266.069609,-86626.99704,-100,589.423031
0.430264,151.399262,-20825.48395,-100,299.96197
0.455768,99.401269,-8016.858624,-100,-100
0.465312,119.512956,2612.444276,-100,115.435018
0.463499,119.512956,2612.444276,-100,115.435018
0.414948,79.013261,4250.220977,-100,-100
0.453002,139.890158,-9044.394335,-100,127.110382
0.449263,181.717684,10454.88016,-100,184.397253
0.424654,390.320051,-17106.82907,-100,722.12371
0.484328,-68.137305,-7268.683767,-100,-100
0.482433,-68.137305,-7268.683767,94.843685,-100
0.469639,43.20494,1225.382637,-100,-100
0.456131,-122.371054,4856.163227,149.234806,-100
0.421142,-92.19592,-3533.145301,105.135318,-100
0.391859,-181.853483,17878.34541,158.892902,-100
0.48144,-113.801737,-11384.84844,236.128406,-100
0.481843,-113.801737,-11384.84844,221.083709,-100
0.484407,-51.184458,-5823.145198,-100,-100
0.47294,-50.947174,-3070.899045,-100,-100
0.47514,-68.137305,-7268.683767,-100,12.439825
0.456808,-113.801737,-11384.84844,244.37506,-100
0.478998,-68.137305,-7268.683767,-100,-100
0.473825,78.389041,301.998393,-100,73.57331
0.47238,71.053983,2438.39777,-100,97.365429
0.412491,347.033392,-1644.357785,-100,621.817218
0.400621,286.27715,12804.76579,-100,499.541514
0.425776,186.320551,14336.75532,-100,177.652268
0.43128,181.717684,10454.88016,-100,162.252727
0.460483,99.401269,-8016.858624,-100,-100
0.456971,99.401269,-8016.858624,-100,-100
0.465269,52.281144,20.606426,-100,-100
