crtR(2011:2022),peak,pit,saddle,ridge,ravine,Longitude,Latitude
0.460355,0,0,1,1,0,140.91417,37.37791
0.476307,0,0,1,1,0,140.914167,37.378812
0.471021,0,0,1,1,0,140.914732,37.378812
0.476892,0,0,1,1,0,140.913603,37.378361
0.470121,0,0,1,1,0,140.914168,37.378361
0.481954,0,0,1,1,0,140.913603,37.378811
0.490117,1,0,0,0,0,140.911909,37.377909
0.493563,1,0,0,0,0,140.911345,37.377908
0.490157,1,0,0,0,0,140.911345,37.377458
0.459065,0,0,1,1,0,140.915297,37.378362
0.463999,0,0,1,1,0,140.914733,37.378362
0.476715,1,0,0,0,0,140.912475,37.377459
0.467402,1,0,0,1,0,140.913039,37.377459
0.477059,1,0,0,1,0,140.913039,37.37791
0.468736,0,0,1,1,0,140.913604,37.37791
0.446489,0,0,1,1,0,140.914169,37.37746
0.484434,1,0,0,1,0,140.912474,37.377909
0.483485,1,0,0,1,0,140.913038,37.37836
0.488935,1,0,0,1,0,140.912474,37.37836
0.470245,0,0,1,0,1,140.915296,37.379263
0.466494,0,0,1,1,0,140.915297,37.378813
0.474717,0,0,1,0,1,140.914732,37.379263
0.455625,0,0,1,1,0,140.915862,37.378362
0.471211,0,0,1,0,0,140.915296,37.379714
0.466339,0,0,1,0,0,140.915861,37.379264
0.511876,0,0,1,0,0,140.907391,37.377905
0.490911,1,0,0,0,0,140.910216,37.377006
0.493889,1,0,0,0,0,140.91078,37.377457
0.462948,0,0,1,0,0,140.915862,37.378813
0.490787,0,0,1,0,0,140.912473,37.379261
0.488295,0,0,1,0,1,140.913037,37.379712
0.484432,1,0,0,0,0,140.91191,37.377458
0.488479,0,0,1,1,0,140.913037,37.379262
0.484428,0,0,1,0,1,140.913602,37.379262
0.479563,0,0,1,0,1,140.914167,37.379263
0.480534,0,0,1,0,1,140.914166,37.379713
0.475849,0,0,1,0,0,140.914731,37.379714
0.458323,0,0,1,0,0,140.916991,37.378814
0.479822,0,0,1,0,1,140.914166,37.380164
0.475075,0,0,1,0,0,140.914731,37.380164
0.484939,0,0,1,0,1,140.913602,37.379713
0.494354,1,0,0,0,0,140.910215,37.377908
0.487057,0,0,1,0,1,140.913036,37.380163
0.494731,1,0,0,0,0,140.91078,37.377908
0.488247,0,0,1,1,0,140.911907,37.379712
0.489781,0,0,1,0,1,140.912472,37.379712
0.485359,1,0,0,0,0,140.910215,37.378358
0.477903,0,0,1,0,1,140.914165,37.380615
0.483968,0,0,1,0,1,140.913601,37.380163
0.486713,0,0,1,1,0,140.911907,37.380162
0.49234,1,0,0,0,0,140.911909,37.378359
0.490792,1,0,0,1,0,140.912473,37.378811
0.487084,0,0,1,1,0,140.913038,37.378811
0.418792,0,0,1,0,1,140.919813,37.381069
0.46298,0,0,1,0,0,140.916426,37.379264
0.459904,0,0,1,0,0,140.916991,37.379265
0.458782,0,0,1,0,0,140.91699,37.379715
0.470393,0,0,1,0,1,140.91473,37.381066
0.464807,0,0,1,0,0,140.915294,37.381066
0.496161,1,0,0,0,0,140.910216,37.377457
0.428975,0,0,1,0,1,140.919814,37.380168
0.46684,0,1,0,0,0,140.915861,37.379714
0.462739,0,0,1,0,0,140.916425,37.379715
0.479673,0,0,1,0,1,140.9136,37.381065
0.482076,0,0,1,0,1,140.913601,37.380614
0.434352,0,0,1,0,1,140.919814,37.379717
0.456916,0,0,1,0,0,140.917555,37.379265
0.453624,0,0,1,0,0,140.91812,37.379265
0.467674,0,0,1,0,1,140.914729,37.381516
0.467808,0,0,1,0,0,140.915295,37.380615
0.470162,0,0,1,0,0,140.915295,37.380165
0.483764,0,0,1,1,0,140.909081,37.381512
0.487312,0,0,1,1,0,140.909081,37.381963
0.452188,0,0,1,0,0,140.909084,37.378808
0.490215,1,0,0,1,0,140.911908,37.379261
0.482757,0,0,1,0,1,140.913035,37.381064
0.485326,1,0,0,1,0,140.911343,37.37926
0.486448,0,0,1,0,0,140.912471,37.380613
0.488256,0,0,1,0,0,140.912471,37.380163
0.485121,0,0,1,0,1,140.913036,37.380614
0.471577,0,0,1,1,0,140.910777,37.380161
0.472691,0,1,0,0,1,140.913598,37.382417
0.474745,0,1,0,0,1,140.913599,37.381966
0.475724,0,1,0,0,1,140.913034,37.382417
